Barri,Puntuació
Sunland,5
Canoga Park,18
Northridge,48
Porter Ranch,3
Desconegut,103
Downtown,65
Woodland Hills,21
West Hills,11
Boyle Heights,10
Harbor City,4
Baldwin Hills/Crenshaw,2
Lake Balboa,12
Palms,11
Sherman Oaks,30
North Hills,39
Valley Glen,10
Panorama City,19
Koreatown,28
Harvard Heights,1
Van Nuys,18
Beverly Grove,5
Rancho Park,5
Westwood,11
Silver Lake,14
Harbor Gateway,6
Broadway-Manchester,2
Sepulveda Basin,3
Leimert Park,2
Chesterfield Square,2
Playa Vista,2
Playa del Rey,4
Westchester,11
Del Rey,2
Mar Vista,8
East Hollywood,18
Sawtelle,15
Hollywood,47
Los Feliz,6
Pacific Palisades,8
West Los Angeles,2
Fairfax,12
Pico-Robertson,4
Echo Park,10
Eagle Rock,8
Highland Park,17
Windsor Square,1
Hollywood Hills,10
Westlake,12
West Adams,6
Arlington Heights,4
North Hollywood,24
Cypress Park,4
Lincoln Heights,6
Chinatown,1
Valley Village,2
Granada Hills,17
Winnetka,6
Reseda,15
Mission Hills,17
Toluca Lake,5
Sylmar,17
Studio City,14
Tarzana,8
Tujunga,4
University Park,6
Century City,8
Hollywood Hills West,2
Mid-Wilshire,9
Pico-Union,4
Pacoima,7
Brentwood,3
Griffith Park,11
Elysian Valley,3
Glassell Park,1
Sun Valley,1
Harvard Park,2
Central-Alameda,3
Beverly Crest,1
Hansen Dam,2
Exposition Park,7
Montecito Heights,12
Watts,1
Lake View Terrace,2
Florence,1
El Sereno,1
Arleta,1
